group_id,collection_id,mms_id,originating_system_id,compoundrelationship,dc:title,dcterms:alternative,oldalttitle,dc:identifier,dcterms:identifier.dcterms:URI,dcterms:tableOfContents,dc:creator,dc:contributor,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:type,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dc:relation,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_name_1,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo
# ,,991011506419204641,991011506419204641,,Stephen R. Carl (Class of 1971) in biology lab,,,grinnell:3482 | http://hdl.handle.net/11084/3482 | alma:01GCL_INST/bibs/991011506419204641,http://hdl.handle.net/11084/3482,,"Henry, George T.",Grinnell College. Communications Office,,"Hall of Science (Grinnell, Iowa) | Carl, Stephen R. | Biological laboratories",,,,Stephen R. Carl (Class of 1971) working on a dissection in the biology lab.,Grinnell College,,1971,,,,photograph,reformated digital,,,image/jpeg,Still Image,English,,Campus Buildings | Digital Grinnell,,"Grinnell, Iowa",,Nineteen seventies | 1971,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,grinnell_3482_OBJ.jpg,,grinnell_3482_OBJ.tiff,,0106  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1804306342/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/curricular-materials/"", /""object/"": {/""pid/"": /""grinnell:3482/"", /""title/"": /""Stephen R. Carl (Class of 1971) in biology lab/"", /""files/"": [/""grinnell_3482_MODS.xml/"", /""grinnell_3482_RELS-EXT.rdf/""]}}"
# ,,991011532686804641,991011532686804641,,"Cyclone Student Union, 1963",,,grinnell:4952 | http://hdl.handle.net/11084/4952 | alma:01GCL_INST/bibs/991011532686804641,http://hdl.handle.net/11084/4952,,,,Cyclone Student Union | Grinnell College,,,,,Photograph of the 1963 Cyclone Student Union.,Grinnell College,,1963,,,1963,article,,,,,,English,,Campus Buildings | Digital Grinnell,,"Grinnell, Iowa",,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,grinnell_4952_OBJ.jpg,,grinnell_4952_OBJ.tiff,,0089  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1407954907/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/college-buildings/"", /""object/"": {/""pid/"": /""grinnell:4952/"", /""title/"": /""Cyclone Student Union, 1963/"", /""files/"": [/""grinnell_4952_MODS.xml/"", /""grinnell_4952_RELS-EXT.rdf/""]}}"
# ,,991011532686904641,991011532686904641,,South Campus Loggia,,,grinnell:4941 | http://hdl.handle.net/11084/4941 | alma:01GCL_INST/bibs/991011532686904641,http://hdl.handle.net/11084/4941,,,,South Campus | Loggia | Grinnell College,,,,,Photograph of the South Campus loggia.,Grinnell College,,1971,,,3/1/1971,photograph,,,,,,English,,Campus Buildings | Digital Grinnell,,"Grinnell, Iowa",,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,grinnell_4941_OBJ.jpg,,grinnell_4941_OBJ.tiff,,0088  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1407954907/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/college-buildings/"", /""object/"": {/""pid/"": /""grinnell:4941/"", /""title/"": /""South Campus Loggia/"", /""files/"": [/""grinnell_4941_MODS.xml/"", /""grinnell_4941_RELS-EXT.rdf/""]}}"
# ,,991011532687004641,991011532687004641,,"Burling Library, Pre 1980s Renovation",,,grinnell:4939 | http://hdl.handle.net/11084/4939 | alma:01GCL_INST/bibs/991011532687004641,http://hdl.handle.net/11084/4939,,,,Burling Library | Renovation | Grinnell College,,,,,Photograph of Burling Library before it was renovated.,Grinnell College,,,,,,photograph,,,,,,English,,Campus Buildings | Digital Grinnell,,"Grinnell, Iowa",,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,grinnell_4939_OBJ.jpg,,grinnell_4939_OBJ.tiff,,0087  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1407954907/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/college-buildings/"", /""object/"": {/""pid/"": /""grinnell:4939/"", /""title/"": /""Burling Librar, Pre 1980s Renovation/"", /""files/"": [/""grinnell_4939_MODS.xml/"", /""grinnell_4939_RELS-EXT.rdf/""]}}"
,,991011532687104641,991011532687104641,,Burling Library Exterior,,,grinnell:4938 | http://hdl.handle.net/11084/4938 | alma:01GCL_INST/bibs/991011532687104641,http://hdl.handle.net/11084/4938,,,,,"Landscape architecture | Burling Library (Grinnell, Iowa) | Grinnell College",,,,Photograph of the landscape outside of Burling Library.,Grinnell College,,,,,,photograph,,,,,Still Image,English,,Campus Buildings | Digital Grinnell,,"Grinnell, Iowa",,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,grinnell_4938_OBJ.jpg,,grinnell_4938_OBJ.tiff,,0086  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1407954907/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/college-buildings/"", /""object/"": {/""pid/"": /""grinnell:4938/"", /""title/"": /""Burling Library Exterior/"", /""files/"": [/""grinnell_4938_MODS.xml/"", /""grinnell_4938_RELS-EXT.rdf/""]}}"
