MMS ID,S3 Path,Local Path
991011590741904641,01GCL_INST/storage/alma/5F/AD/44/CC/99/96/27/89/A5/C8/CB/BA/FB/27/89/99/grinnell_6467_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6467_OBJ.tiff
991011590742004641,01GCL_INST/storage/alma/C4/C3/D8/2E/D3/CE/8D/2A/72/DD/7F/F5/DD/A1/99/C1/grinnell_6260_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6260_OBJ.tiff
991011590742204641,01GCL_INST/storage/alma/FF/39/8B/99/F8/33/68/0F/81/E8/B1/F0/F7/CC/84/4F/grinnell_6466_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6466_OBJ.tiff
991011590742304641,01GCL_INST/storage/alma/D8/19/10/CB/26/AC/40/8E/AE/E8/B3/CA/8E/B8/F7/7F/grinnell_6065_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6065_OBJ.tiff
991011590742404641,01GCL_INST/storage/alma/D6/F6/93/BA/C9/EA/3B/F4/1E/5B/3E/77/B6/73/BA/BA/grinnell_6259_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6259_OBJ.tiff
991011590742504641,01GCL_INST/storage/alma/B8/2E/02/51/F7/81/16/5B/CF/73/CF/62/2A/F5/8B/0B/grinnell_6464_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6464_OBJ.tiff
991011590742704641,01GCL_INST/storage/alma/22/22/BC/D4/5C/69/2D/AE/31/F6/65/D2/45/87/82/0E/grinnell_6258_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6258_OBJ.tiff
991011590742904641,01GCL_INST/storage/alma/21/11/6E/1E/95/71/06/25/60/F9/B8/4D/B3/10/31/8F/grinnell_6257_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6257_OBJ.tiff
991011590743004641,01GCL_INST/storage/alma/39/08/D8/97/E3/7B/B7/BD/50/9F/50/7A/7B/71/CE/8F/grinnell_6463_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6463_OBJ.tiff
991011590743204641,01GCL_INST/storage/alma/D5/79/F9/BA/32/CC/C1/CE/FD/A8/4C/D6/61/77/89/88/grinnell_6256_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6256_OBJ.tiff
991011590743304641,01GCL_INST/storage/alma/52/E4/A7/8C/A6/6B/5A/08/C7/1A/84/DB/D9/B6/DE/CD/grinnell_6460_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6460_OBJ.tiff
991011590743404641,01GCL_INST/storage/alma/39/59/C0/02/C4/D0/4F/3A/D6/FD/80/DB/FC/1A/5D/A1/grinnell_6255_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6255_OBJ.tiff
991011590743504641,01GCL_INST/storage/alma/2B/92/98/77/C1/AA/5F/0F/1F/6B/FE/04/06/8C/79/A4/grinnell_6457_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6457_OBJ.tiff
991011590743604641,01GCL_INST/storage/alma/3F/60/A0/AA/76/F9/23/AB/F4/90/B5/96/88/0A/0D/AC/grinnell_6254_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6254_OBJ.tiff
991011590743704641,01GCL_INST/storage/alma/37/9B/78/59/E1/D7/26/48/A4/36/28/CE/81/64/5D/4C/grinnell_6064_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6064_OBJ.tiff
991011590743804641,01GCL_INST/storage/alma/74/6B/98/09/6A/E3/31/92/DA/27/B5/00/D5/5B/0A/5E/grinnell_6456_OBJ.tiff,/Volumes/exports/phpp-dcl/OBJ/grinnell_6456_OBJ.tiff
